State 604: {0: np.float64(5.20945336562895), 1: np.float64(5.321928094887363), 2: np.float64(5.20945336562895), 3: np.float64(5.321928094887363)}
State 704: {0: np.float64(5.426264754702098), 1: np.float64(5.20945336562895), 2: np.float64(4.700439718141092), 3: np.float64(5.0)}
State 804: {0: np.float64(5.044394119358453), 1: np.float64(5.044394119358453), 2: np.float64(5.044394119358453), 3: np.float64(5.321928094887363)}
State 904: {0: np.float64(5.169925001442312), 1: np.float64(4.857980995127572), 2: np.float64(4.459431618637297), 3: np.float64(5.20945336562895)}
State 1004: {0: np.float64(4.954196310386875), 1: np.float64(4.247927513443585), 2: np.float64(4.700439718141092), 3: np.float64(4.700439718141092)}
State 1104: {0: np.float64(4.700439718141092), 1: np.float64(4.247927513443585), 2: np.float64(4.0), 3: np.float64(4.857980995127572)}
State 1204: {0: np.float64(0.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(4.584962500721156)}
State 5: {0: np.float64(0.0), 1: np.float64(4.700439718141092), 2: np.float64(0.0), 3: np.float64(0.0)}
State 105: {0: np.float64(4.700439718141092), 1: np.float64(4.954196310386875), 2: np.float64(4.584962500721156), 3: np.float64(4.700439718141092)}
State 205: {0: np.float64(5.0), 1: np.float64(5.169925001442312), 2: np.float64(4.857980995127572), 3: np.float64(4.700439718141092)}
State 305: {0: np.float64(5.20945336562895), 1: np.float64(5.321928094887363), 2: np.float64(5.044394119358453), 3: np.float64(4.954196310386875)}
State 405: {0: np.float64(5.357552004618084), 1: np.float64(5.426264754702098), 2: np.float64(5.20945336562895), 3: np.float64(5.169925001442312)}
State 505: {0: np.float64(5.321928094887363), 1: np.float64(5.459431618637297), 2: np.float64(5.321928094887363), 3: np.float64(5.321928094887363)}
State 605: {0: np.float64(5.491853096329675), 1: np.float64(5.426264754702098), 2: np.float64(5.357552004618084), 3: np.float64(5.169925001442312)}
State 705: {0: np.float64(5.459431618637297), 1: np.float64(5.321928094887363), 2: np.float64(4.954196310386875), 3: np.float64(5.459431618637297)}
State 805: {0: np.float64(5.357552004618084), 1: np.float64(5.169925001442312), 2: np.float64(5.20945336562895), 3: np.float64(5.169925001442312)}
State 905: {0: np.float64(5.20945336562895), 1: np.float64(4.700439718141092), 2: np.float64(5.044394119358453), 3: np.float64(5.321928094887363)}
State 1005: {0: np.float64(5.0), 1: np.float64(4.700439718141092), 2: np.float64(4.523561956057013), 3: np.float64(5.169925001442312)}
State 1105: {0: np.float64(4.700439718141092), 1: np.float64(4.700439718141092), 2: np.float64(4.584962500721156), 3: np.float64(4.954196310386875)}
State 1205: {0: np.float64(0.0), 1: np.float64(0.0), 2: np.float64(0.0), 3: np.float64(4.700439718141092)}
State 6: {0: np.float64(0.0), 1: np.float64(4.700439718141092), 2: np.float64(0.0), 3: np.float64(0.0)}
