State 1006: {0: 4.954196310386875, 1: 4.700439718141092, 2: 4.954196310386875, 3: 5.044394119358453}
State 1106: {0: 4.700439718141092, 1: 4.700439718141092, 2: 4.700439718141092, 3: 5.0}
State 1206: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.700439718141092}
State 7: {0: 0.0, 1: 4.700439718141092, 2: 0.0, 3: 0.0}
State 107: {0: 4.584962500721156, 1: 4.954196310386875, 2: 4.700439718141092, 3: 4.700439718141092}
State 207: {0: 4.857980995127572, 1: 5.169925001442312, 2: 5.0, 3: 4.700439718141092}
State 307: {0: 5.044394119358453, 1: 4.584962500721156, 2: 5.20945336562895, 3: 4.954196310386875}
State 407: {0: 4.857980995127572, 1: 4.700439718141092, 2: 4.584962500721156, 3: 4.459431618637297}
State 507: {0: 5.321928094887363, 1: 4.700439718141092, 2: 4.700439718141092, 3: 4.584962500721156}
State 607: {0: 5.357552004618084, 1: 5.169925001442312, 2: 5.0, 3: 5.169925001442312}
State 707: {0: 5.321928094887363, 1: 4.584962500721156, 2: 4.700439718141092, 3: 4.700439718141092}
State 807: {0: 4.857980995127572, 1: 4.459431618637297, 2: 4.584962500721156, 3: 4.700439718141092}
State 907: {0: 4.700439718141092, 1: 4.954196310386875, 2: 4.459431618637297, 3: 4.584962500721156}
State 1007: {0: 4.857980995127572, 1: 4.700439718141092, 2: 4.857980995127572, 3: 5.169925001442312}
State 1107: {0: 4.584962500721156, 1: 4.700439718141092, 2: 4.700439718141092, 3: 4.954196310386875}
State 1207: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.700439718141092}
State 8: {0: 0.0, 1: 4.584962500721156, 2: 0.0, 3: 0.0}
State 108: {0: 4.459431618637297, 1: 4.857980995127572, 2: 4.700439718141092, 3: 4.584962500721156}
State 208: {0: 4.700439718141092, 1: 5.044394119358453, 2: 4.954196310386875, 3: 4.584962500721156}
State 308: {0: 4.906890595608519, 1: 5.20945336562895, 2: 5.169925001442312, 3: 4.857980995127572}
