Estado	Q_RL	Q_Emp	Recompensas
(1013, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5184787013433746, 1: 1.4956729664704, 2: 1.2461926005493418, 3: 0.09915475156812718}	True
(1013, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5184787013433746, 1: 1.4956729664704, 2: 1.2461926005493418, 3: 0.09915475156812718}	False
(1110, True)	{0: -0.07763184000000001, 1: -0.07135200000000001, 2: -0.07238880000000002, 3: -0.07763184000000001}	{0: 0.05182663994799394, 1: 0.08672063029213783, 2: 1.0820215798067545, 3: 0.02681004085925256}	True
(1110, False)	{0: -0.07763184000000001, 1: -0.07135200000000001, 2: -0.07238880000000002, 3: -0.07763184000000001}	{0: 0.05182663994799394, 1: 0.08672063029213783, 2: 1.0820215798067545, 3: 0.02681004085925256}	False
(1111, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.001270840459294831, 1: 0.08129117815792833, 2: 0.09897435017513723, 3: 0.6128656478553391}	True
(1111, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.001270840459294831, 1: 0.08129117815792833, 2: 0.09897435017513723, 3: 0.6128656478553391}	False
(1112, True)	{0: -0.05168000000000001, 1: -0.05816000000000002, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 1.024260699764068, 1: 0.08337522305717177, 2: 0.4860596269972879, 3: 1.756387171685919}	True
(1112, False)	{0: -0.05168000000000001, 1: -0.05816000000000002, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 1.024260699764068, 1: 0.08337522305717177, 2: 0.4860596269972879, 3: 1.756387171685919}	False
(1113, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.026638489983689687, 1: 0.034422891917742504, 2: 1.0485472237880769, 3: 1.5521833455858425}	True
(1113, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.026638489983689687, 1: 0.034422891917742504, 2: 1.0485472237880769, 3: 1.5521833455858425}	False
(200, True)	{0: -0.036000000000000004, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.020000000000000004}	{0: 0.07001026499135884, 1: 0.040025350427263656, 2: 0.08107106809972958, 3: 0.08932716171874906}	True
(200, False)	{0: -0.036000000000000004, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.020000000000000004}	{0: 0.07001026499135884, 1: 0.040025350427263656, 2: 0.08107106809972958, 3: 0.08932716171874906}	False
(201, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.999905739647914, 1: 8.848229228296843, 2: 5.970313873475954, 3: 4.7438105606988605}	True
(201, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.999905739647914, 1: 8.848229228296843, 2: 5.970313873475954, 3: 4.7438105606988605}	False
(202, True)	{0: -0.020000000000000004, 1: 0.103246091662494, 2: 0, 3: 0}	{0: 18.12508121112318, 1: 6.008271552682638, 2: 6.160880819663678, 3: 6.503056420884623}	True
(202, False)	{0: -0.020000000000000004, 1: 0.103246091662494, 2: 0, 3: 0}	{0: 18.12508121112318, 1: 6.008271552682638, 2: 6.160880819663678, 3: 6.503056420884623}	False
(203, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 33.11838500620416, 1: 25.988992834353823, 2: 28.97969452921073, 3: 26.410827364634947}	True
(203, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 33.11838500620416, 1: 25.988992834353823, 2: 28.97969452921073, 3: 26.410827364634947}	False
(300, True)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.09237400479304055, 1: 0.027837920231851578, 2: 0.005198200625731064, 3: 0.0023644797402810227}	True
(300, False)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.09237400479304055, 1: 0.027837920231851578, 2: 0.005198200625731064, 3: 0.0023644797402810227}	False
(301, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 8.561425046208765, 1: 7.970448439924401, 2: 10.03869521978519, 3: 6.710911327968736}	True
(301, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 8.561425046208765, 1: 7.970448439924401, 2: 10.03869521978519, 3: 6.710911327968736}	False
(302, True)	{0: -0.030968949120048203, 1: 0.30181271790492076, 2: 0.059535148917585205, 3: 0.10808832975398396}	{0: 9.600481618612381, 1: 6.273557171767958, 2: 5.959080791506972, 3: 3.3446018771014265}	True
(302, False)	{0: -0.030968949120048203, 1: 0.30181271790492076, 2: 0.059535148917585205, 3: 0.10808832975398396}	{0: 9.600481618612381, 1: 6.273557171767958, 2: 5.959080791506972, 3: 3.3446018771014265}	False
(303, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 18.334492318168607, 1: 13.709763423934545, 2: 17.571381064417547, 3: 29.070708409377097}	True
(303, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 18.334492318168607, 1: 13.709763423934545, 2: 17.571381064417547, 3: 29.070708409377097}	False
(400, True)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.0763220492712669, 1: 0.07198435155992076, 2: 0.04608009067388638, 3: 0.08037692130679479}	True
(400, False)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.0763220492712669, 1: 0.07198435155992076, 2: 0.04608009067388638, 3: 0.08037692130679479}	False
(401, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.788488319309591, 1: 5.86066911437524, 2: 7.435861264789105, 3: 9.257220778677228}	True
(401, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 4.788488319309591, 1: 5.86066911437524, 2: 7.435861264789105, 3: 9.257220778677228}	False
(402, True)	{0: 0.10629874001102918, 1: 0.10074034450134353, 2: 0.022643416394056527, 3: 0.28746889885254895}	{0: 7.220145006234785, 1: 2.498037966606721, 2: 6.855573009831695, 3: 2.182579460565656}	True
(402, False)	{0: 0.10629874001102918, 1: 0.10074034450134353, 2: 0.022643416394056527, 3: 0.28746889885254895}	{0: 7.220145006234785, 1: 2.498037966606721, 2: 6.855573009831695, 3: 2.182579460565656}	False
(403, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 10.396544140240966, 1: 9.244310252281567, 2: 4.892738725663153, 3: 14.899458773710586}	True
(403, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 10.396544140240966, 1: 9.244310252281567, 2: 4.892738725663153, 3: 14.899458773710586}	False
(500, True)	{0: -0.05880800000000001, 1: -0.045360000000000004, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 0.027638704615615052, 1: 0.003609990003436847, 2: 0.09060335261285041, 3: 0.06263737779122797}	True
(500, False)	{0: -0.05880800000000001, 1: -0.045360000000000004, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 0.027638704615615052, 1: 0.003609990003436847, 2: 0.09060335261285041, 3: 0.06263737779122797}	False
(501, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.966764719488675, 1: 0.599123922755757, 2: 5.047047489008041, 3: 6.709719004779159}	True
(501, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.966764719488675, 1: 0.599123922755757, 2: 5.047047489008041, 3: 6.709719004779159}	False
(502, True)	{0: 0.09961051342298623, 1: -0.005307358736844938, 2: 0.09059011632788445, 3: 0.08709990210849779}	{0: 2.471244396033232, 1: 2.0482532447457595, 2: 2.361703200065783, 3: 4.487196021544343}	True
(502, False)	{0: 0.09961051342298623, 1: -0.005307358736844938, 2: 0.09059011632788445, 3: 0.08709990210849779}	{0: 2.471244396033232, 1: 2.0482532447457595, 2: 2.361703200065783, 3: 4.487196021544343}	False
(503, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 7.541706136115878, 1: 9.8422214984525, 2: 5.804906271015208, 3: 3.357743825196188}	True
(503, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 7.541706136115878, 1: 9.8422214984525, 2: 5.804906271015208, 3: 3.357743825196188}	False
(600, True)	{0: -0.055928000000000005, 1: -0.045360000000000004, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.08513973832707454, 1: 0.015617495344896115, 2: 0.08317245888519559, 3: 0.023559036116411136}	True
(600, False)	{0: -0.055928000000000005, 1: -0.045360000000000004, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.08513973832707454, 1: 0.015617495344896115, 2: 0.08317245888519559, 3: 0.023559036116411136}	False
(601, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.6145644948608588, 1: 0.08560383681907902, 2: 0.504172168899159, 3: 1.0899158108985327}	True
(601, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.6145644948608588, 1: 0.08560383681907902, 2: 0.504172168899159, 3: 1.0899158108985327}	False
(602, True)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: 0.10017498423087515, 3: -0.020000000000000004}	{0: 2.0718182722979464, 1: 0.06644442152186784, 2: 1.0294608676378, 3: 2.4151079029302225}	True
(602, False)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: 0.10017498423087515, 3: -0.020000000000000004}	{0: 2.0718182722979464, 1: 0.06644442152186784, 2: 1.0294608676378, 3: 2.4151079029302225}	False
(603, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 9.704222751073415, 1: 3.0131486061291746, 2: 5.7426609427649655, 3: 3.9791670841519444}	True
(603, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 9.704222751073415, 1: 3.0131486061291746, 2: 5.7426609427649655, 3: 3.9791670841519444}	False
(700, True)	{0: -0.05528000000000001, 1: -0.07250544, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.089046812477534, 1: 0.09789162916196452, 2: 0.04207974566737201, 3: 0.02257609104852412}	True
(700, False)	{0: -0.05528000000000001, 1: -0.07250544, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.089046812477534, 1: 0.09789162916196452, 2: 0.04207974566737201, 3: 0.02257609104852412}	False
(701, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.0774866648241814, 1: 0.4946239815615979, 2: 0.5257098847651565, 3: 0.024427011897458696}	True
(701, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.0774866648241814, 1: 0.4946239815615979, 2: 0.5257098847651565, 3: 0.024427011897458696}	False
(702, True)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.015657798294136504, 1: 0.5194659372031133, 2: 0.49667743223919625, 3: 0.6650100265782065}	True
(702, False)	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.015657798294136504, 1: 0.5194659372031133, 2: 0.49667743223919625, 3: 0.6650100265782065}	False
(703, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.481612947424128, 1: 0.5921891988501867, 2: 1.4330823786278104, 3: 4.142741190612764}	True
(703, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.481612947424128, 1: 0.5921891988501867, 2: 1.4330823786278104, 3: 4.142741190612764}	False
(800, True)	{0: -0.07480944000000002, 1: -0.05880800000000001, 2: -0.06163040000000001, 3: -0.0741744}	{0: 0.015326094774918276, 1: 0.03245095913305438, 2: 0.06922484268758855, 3: 0.06394467093257593}	True
(800, False)	{0: -0.07480944000000002, 1: -0.05880800000000001, 2: -0.06163040000000001, 3: -0.0741744}	{0: 0.015326094774918276, 1: 0.03245095913305438, 2: 0.06922484268758855, 3: 0.06394467093257593}	False
(801, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.023787395283700875, 1: 0.45732259754038757, 2: 0.03136992956562813, 3: 0.0025563955425307763}	True
(801, False)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.023787395283700875, 1: 0.45732259754038757, 2: 0.03136992956562813, 3: 0.0025563955425307763}	False
(802, True)	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 0.07529342721494146, 1: 0.5222983838261227, 2: 0.038123826613144465, 3: 0.6101294648623301}	True
(802, False)	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 0.07529342721494146, 1: 0.5222983838261227, 2: 0.038123826613144465, 3: 0.6101294648623301}	False
(803, True)	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5991712459810581, 1: 1.5167487531234436, 2: 0.0731784642502457, 3: 0.06555487873292841}	True
