Estado	Q_RL	Q_Emp	Recompensas
600	{0: -0.055928000000000005, 1: -0.045360000000000004, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.08513973832707454, 1: 0.015617495344896115, 2: 0.08317245888519559, 3: 0.023559036116411136}	False
601	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.6145644948608588, 1: 0.08560383681907902, 2: 0.504172168899159, 3: 1.0899158108985327}	False
602	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: 0.10017498423087515, 3: -0.020000000000000004}	{0: 2.0718182722979464, 1: 0.06644442152186784, 2: 1.0294608676378, 3: 2.4151079029302225}	False
603	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 9.704222751073415, 1: 3.0131486061291746, 2: 5.7426609427649655, 3: 3.9791670841519444}	False
700	{0: -0.05528000000000001, 1: -0.07250544, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.089046812477534, 1: 0.09789162916196452, 2: 0.04207974566737201, 3: 0.02257609104852412}	False
701	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.0774866648241814, 1: 0.4946239815615979, 2: 0.5257098847651565, 3: 0.024427011897458696}	False
702	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.015657798294136504, 1: 0.5194659372031133, 2: 0.49667743223919625, 3: 0.6650100265782065}	False
703	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 2.481612947424128, 1: 0.5921891988501867, 2: 1.4330823786278104, 3: 4.142741190612764}	False
800	{0: -0.07480944000000002, 1: -0.05880800000000001, 2: -0.06163040000000001, 3: -0.0741744}	{0: 0.015326094774918276, 1: 0.03245095913305438, 2: 0.06922484268758855, 3: 0.06394467093257593}	False
801	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.023787395283700875, 1: 0.45732259754038757, 2: 0.03136992956562813, 3: 0.0025563955425307763}	False
802	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 0.07529342721494146, 1: 0.5222983838261227, 2: 0.038123826613144465, 3: 0.6101294648623301}	False
803	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5991712459810581, 1: 1.5167487531234436, 2: 0.0731784642502457, 3: 0.06555487873292841}	False
900	{0: -0.05880800000000001, 1: -0.07480944, 2: -0.05880800000000001, 3: -0.06226544000000001}	{0: 0.07873612609271678, 1: 0.09643243504698817, 2: 0.025257567567000806, 3: 0.033509427239964584}	False
901	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 1.0472585746808791, 1: 0.4356006858393806, 2: 0.5243802994338085, 3: 0.0947533651336531}	False
902	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.5676526859043005, 1: 0.09014809801684848, 2: 0.538638257303839, 3: 0.5419492111669114}	False
903	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 1.557801347124769, 1: 0.511922909145821, 2: 0.035677940613122454, 3: 1.0923100985911807}	False
1000	{0: -0.07417440000000002, 1: -0.07763184000000001, 2: -0.07763184000000001, 3: -0.06226544000000001}	{0: 0.09373306431182613, 1: 0.04792560566339763, 2: 0.0260440808056729, 3: 0.05970141545873606}	False
1001	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.9951557734445398, 1: 0.04962642046205354, 2: 0.46935073222477885, 3: 0.5136753723517343}	False
1002	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05816000000000002, 3: -0.05880800000000001}	{0: 0.026511275793576452, 1: 0.884699945485901, 2: 1.0139750858748924, 3: 0.012088551286195237}	False
1003	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.5278617373823493, 1: 0.5019362016728288, 2: 0.950023651331938, 3: 0.019885585917341287}	False
1100	{0: -0.07763184000000001, 1: -0.06174704000000001, 2: -0.07763184000000001, 3: -0.07763184000000001}	{0: 0.056902341839774974, 1: 0.09885673423319924, 2: 0.020354866220907698, 3: 0.09069961899110861}	False
1101	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.0035937614313497623, 1: 0.04861035794702313, 2: 0.07733070187024786, 3: 0.06822696824174455}	False
1102	{0: -0.05880800000000001, 1: -0.045360000000000004, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.0927247185446019, 1: 0.039999527563089554, 2: 0.08314727309715263, 3: 1.0405765749159974}	False
1103	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.49226327521851065, 1: 0.8996333427460873, 2: 0.9243410751016392, 3: 0.5343430532798313}	False
1200	{0: -0.07659504000000002, 1: -0.07763184000000001, 2: -0.07763184000000001, 3: -0.06508784000000001}	{0: 0.043700451982026094, 1: 0.09107949121009867, 2: 0.002384938263839598, 3: 0.054477708584479534}	False
1201	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.0746794830063263, 1: 0.04211669253187882, 2: 0.0003465892823155459, 3: 0.057330453826602915}	False
1202	{0: -0.055928000000000005, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.040248000000000006}	{0: 0.03474103305997386, 1: 0.002427354553933736, 2: 0.0986210509128075, 3: 0.09374483508733235}	False
1203	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.07975441970463827, 1: 0.08349523007443904, 2: 0.07559970233082366, 3: 0.06003976134669517}	False
1210	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.07532784000000001, 3: -0.06456944}	{0: 0.034851518679842375, 1: 0.07686172645423173, 2: 0.031438794384990976, 3: 0.031504240912954444}	False
1211	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.02059058952462386, 1: 0.08899719924322835, 2: 0.02472118483266097, 3: 0.05156882695828692}	False
1212	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.0524, 3: -0.05880800000000001}	{0: 0.06880371876738312, 1: 0.023416685353750934, 2: 0.08493808265019354, 3: 0.02147161649184942}	False
1213	{0: 0, 1: 0, 2: 0, 3: 0}	{0: 0.05030004673454758, 1: 0.04222917565884619, 2: 0.045767502924429285, 3: 0.07605454796831534}	False
706	{0: -0.020000000000000004, 1: 0.9967280692806223, 2: 0, 3: 0}	{0: 9.079773361883618, 1: 2.7782575027532843, 2: 1.7806414854969081, 3: 5.596919456305933}	False
1206	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: 1.2015269650823575}	{0: 0.06732627734862967, 1: 0.056271772301392936, 2: 0.025245281480326245, 3: 0.06610035559065669}	False
1106	{0: 0.44368416902112695, 1: 0.6093475354149511, 2: 0.6636471085640683, 3: 1.1244381381392876}	{0: 0.5213896510446843, 1: 0.04629455031770138, 2: 0.07193872926522167, 3: 1.6938748310416316}	False
806	{0: -0.020000000000000004, 1: 0.7962678273639211, 2: 0, 3: 0}	{0: 2.623504633796881, 1: 2.4838528092584524, 2: 0.6503408172033849, 3: 2.297082027756015}	False
906	{0: 0.5361839242919892, 1: 1.1407616632443707, 2: 0.6939149987993449, 3: 0.7282392530612177}	{0: 1.7120752845182965, 1: 1.0145276130902419, 2: 2.4364804369855664, 3: 2.3259527131477893}	False
1006	{0: 0.7373671807485703, 1: 1.1448799607190425, 2: 0.958772638598836, 3: 3.1158431902227366}	{0: 0.7598510535647783, 1: 0.9887734081756505, 2: 0.9651492484729074, 3: 2.1520214656855003}	False
704	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.04312800000000001}	{0: 3.5914994087623633, 1: 1.8009280328909576, 2: 2.8759825601468987, 3: 6.930130398524958}	False
714	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 1.0984426599861445, 1: 1.1100831484662437, 2: 0.5793530422510976, 3: 1.694509211679248}	False
814	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.04101322066043304, 1: 0.4986062318560319, 2: 0.694566668668435, 3: 1.0856137184473118}	False
914	{0: 0.031902021528713326, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.06226544000000001}	{0: 0.5236041572237551, 1: 0.017433615594536402, 2: 0.6878814432635567, 3: 0.03264618997653795}	False
1014	{0: 0.1144283869187297, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.01031069980337347, 1: 0.036207609498385064, 2: 0.6150133322371698, 3: 0.05910306187519493}	False
1004	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 0.03822413095283061, 1: 0.06788706211394069, 2: 0.07853077895658012, 3: 0.07634097321607945}	False
1114	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.06226544000000001}	{0: 0.0776194305198988, 1: 0.015311784695969133, 2: 0.0030560356857491813, 3: 0.08588667786697561}	False
1214	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.07684633894754665, 1: 0.061981550829657096, 2: 0.02311981792820742, 3: 0.0027020033949992864}	False
1204	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.039803812911283515, 1: 0.06826666717730617, 2: 0.03029940761013016, 3: 0.02722714338152704}	False
1104	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.05880800000000001, 3: -0.05880800000000001}	{0: 0.550784594480576, 1: 0.49338389120604875, 2: 0.4778670851749658, 3: 0.03913849471156236}	False
904	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.03960000000000001, 3: -0.04312800000000001}	{0: 1.1263491766459726, 1: 0.0014690908429382144, 2: 1.0731196772883007, 3: 1.160204313173297}	False
804	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 1.2819454595033895, 1: 0.5730534747652385, 2: 0.5906909233234665, 3: 3.4121598484856217}	False
606	{0: -0.020000000000000004, 1: 0.1079568, 2: 0, 3: 0}	{0: 6.80280103928417, 1: 8.287248652830908, 2: 5.235435270715688, 3: 15.405485138228427}	False
616	{0: -0.020000000000000004, 1: -0.020000000000000004, 2: -0.020000000000000004, 3: -0.020000000000000004}	{0: 0.551074555065315, 1: 0.03771325742195996, 2: 0.01093134008537816, 3: 1.070831429691771}	False
604	{0: -0.05880800000000001, 1: -0.042480000000000004, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 10.761372327513556, 1: 6.5307507636491, 2: 6.95693565361063, 3: 5.603591448093551}	False
614	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.03960000000000001, 3: -0.04312800000000001}	{0: 1.1022431316325108, 1: 0.7106787061239663, 2: 2.508041317020438, 3: 0.6237005212944642}	False
504	{0: -0.05528000000000001, 1: -0.05592800000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 5.152989918635754, 1: 5.858911606273036, 2: 9.234817724439207, 3: 5.664536950883135}	False
514	{0: -0.05880800000000001, 1: -0.05528000000000001, 2: -0.05880800000000001, 3: -0.03960000000000001}	{0: 1.0100878184310818, 1: 0.7221030878957874, 2: 1.7215702607526868, 3: 0.02491465653563271}	False
404	{0: -0.05880800000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 14.941888043469447, 1: 7.315706489245141, 2: 8.195887839979974, 3: 19.80308139885316}	False
414	{0: -0.05880800000000001, 1: -0.05880800000000001, 2: -0.03960000000000001, 3: -0.03960000000000001}	{0: 0.6329425062884437, 1: 1.5759522247092574, 2: 1.3574733952156715, 3: 1.9367282318139267}	False
506	{0: -0.020000000000000004, 1: -0.012700640000000003, 2: -0.020000000000000004, 3: 0}	{0: 14.44779110783318, 1: 10.436780885184117, 2: 11.449145205295252, 3: 16.63248213959288}	False
516	{0: -0.020000000000000004, 1: -0.020000000000000004, 2: -0.020000000000000004, 3: -0.020000000000000004}	{0: 0.49096980464431017, 1: 1.1421154168378815, 2: 0.039103340266155265, 3: 0.08185027731082002}	False
304	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.020000000000000004}	{0: 12.422495463630339, 1: 13.210331400567064, 2: 17.48357404780136, 3: 28.039527868325692}	False
314	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.03960000000000001, 3: -0.020000000000000004}	{0: 2.4253926150974516, 1: 2.4174162786663294, 2: 2.7819597311472117, 3: 0.605996520499985}	False
204	{0: -0.036000000000000004, 1: -0.020000000000000004, 2: -0.020000000000000004, 3: -0.020000000000000004}	{0: 23.528511458161923, 1: 25.49817495906932, 2: 32.94069232639049, 3: 21.539311402763587}	False
214	{0: -0.03960000000000001, 1: -0.03960000000000001, 2: -0.020000000000000004, 3: -0.020000000000000004}	{0: 0.6988163363904288, 1: 2.2830927840555186, 2: 0.5060800780971692, 3: 0.04582082306959295}	False
406	{0: -0.020000000000000004, 1: -0.020000000000000004, 2: -0.020000000000000004, 3: -0.020000000000000004}	{0: 24.261186511876158, 1: 15.367262177428868, 2: 13.693714254083043, 3: 13.040829685672499}	False
416	{0: -0.020000000000000004, 1: -0.020000000000000004, 2: -0.020000000000000004, 3: -0.020000000000000004}	{0: 0.050776366465760725, 1: 0.6145559787270438, 2: 0.6361479840212239, 3: 0.039176229910891924}	False
306	{0: -0.020000000000000004, 1: -0.020000000000000004, 2: -0.020000000000000004, 3: 0}	{0: 17.474872659618708, 1: 18.78077538645801, 2: 12.59197080804626, 3: 16.728012416518467}	False
316	{0: -0.020000000000000004, 1: -0.020000000000000004, 2: -0.020000000000000004, 3: 0}	{0: 0.6122600233365092, 1: 0.5483622525634657, 2: 0.8969254999600101, 3: 2.3814563317434194}	False
