State 606: {0: 6.80280103928417, 1: 8.287248652830908, 2: 5.235435270715688, 3: 15.405485138228427}
State 706: {0: 9.079773361883618, 1: 2.7782575027532843, 2: 1.7806414854969081, 3: 5.596919456305933}
State 806: {0: 2.623504633796881, 1: 2.4838528092584524, 2: 0.6503408172033849, 3: 2.297082027756015}
State 906: {0: 1.7120752845182965, 1: 1.0145276130902419, 2: 2.4364804369855664, 3: 2.3259527131477893}
State 1006: {0: 0.7598510535647783, 1: 0.9887734081756505, 2: 0.9651492484729074, 3: 2.1520214656855003}
State 1106: {0: 0.5213896510446843, 1: 0.04629455031770138, 2: 0.07193872926522167, 3: 1.6938748310416316}
State 1206: {0: 0.06732627734862967, 1: 0.056271772301392936, 2: 0.025245281480326245, 3: 0.06610035559065669}
State 7: {0: 0.09034099799974171, 1: 0.06915596829589418, 2: 0.07151071129747494, 3: 0.057162445206300073}
State 107: {0: 31.648433718514625, 1: 36.49148919903157, 2: 10.284444475901054, 3: 25.182549136265447}
State 207: {0: 38.57402052325409, 1: 35.17850894664608, 2: 29.95773867399649, 3: 32.261709723633714}
State 307: {0: 28.10560391857052, 1: 26.1540299778586, 2: 24.223834781909183, 3: 37.72695361017938}
State 407: {0: 15.169764952832645, 1: 14.935518416177977, 2: 12.787505993156287, 3: 31.959255961243695}
State 507: {0: 12.297626492752832, 1: 9.829141924903622, 2: 12.499308373669704, 3: 22.75699102598678}
State 607: {0: 7.259277964664693, 1: 7.128615243059409, 2: 13.684192656772899, 3: 11.372223854943078}
State 707: {0: 8.65500701189894, 1: 2.163526322451408, 2: 5.869977856742569, 3: 5.584437991397057}
State 807: {0: 2.418829309611142, 1: 2.480843483408073, 2: 1.8601816588669577, 3: 3.8214248779354483}
State 907: {0: 2.231289286791256, 1: 1.5536811841661127, 2: 1.0505877301468507, 3: 3.2937780362441886}
State 1007: {0: 0.6074430912495243, 1: 2.2818780719330154, 2: 2.3847333644426003, 3: 0.6173166415536704}
State 1107: {0: 0.5254114505832399, 1: 2.2639759130888812, 2: 3.42851852603618, 3: 1.8002294411053001}
State 1207: {0: 0.033093729904324465, 1: 0.05998328435788974, 2: 0.017301248612715238, 3: 0.009626966886158817}
