State 642: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 643: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 740: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 741: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 742: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 743: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 840: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 841: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 842: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 843: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 940: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 941: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 942: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 943: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1040: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1041: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1042: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1043: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1140: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1141: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1142: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1143: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 150: {0: 0.096, 1: 2.346608694911662, 2: 0.0, 3: 0.0}
State 151: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 152: {0: 0.08747200000000001, 1: 0.08805177600000001, 2: 0.086256672, 3: 0.08823840000000001}
State 153: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 250: {0: 0.632772103496719, 1: 1.89706915830353, 2: 2.381303623341622, 3: 0.4481671152143395}
State 251: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 252: {0: 5.149500564230536, 1: 0.08562592000000002, 2: 0.08514153600000002, 3: 0.08894400000000001}
State 253: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 350: {0: 0.096, 1: 1.0197141710795223, 2: 1.2051897709001964, 3: 2.3745914034273317}
State 351: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 352: {0: 0.08952, 1: 0.08881440000000002, 2: 0.09092800000000001, 3: 0.09042515200000001}
State 353: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 450: {0: 0.0864352, 1: 0.09208000000000001, 2: 2.3483736373552735, 3: 0.096}
State 451: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 452: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.0907984, 3: 0.091504}
State 453: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 550: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 551: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 552: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 553: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 650: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.1159460942926648, 3: 0.09528}
State 651: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 652: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 653: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 750: {0: 0.09208000000000001, 1: 0.09280000000000001, 2: 0.09208000000000001, 3: 0.09528}
State 751: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 752: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 753: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 850: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09528}
State 851: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 852: {0: 0.09208000000000001, 1: 0.096, 2: 0.09208000000000001, 3: 0.096}
State 853: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 950: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09528}
State 951: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 952: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 953: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1050: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 1051: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1052: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1053: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1150: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1151: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1152: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1153: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 160: {0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}
State 161: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 162: {0: 0.09280000000000001, 1: 1.8681420974696714, 2: 0.09528, 3: 0.096}
State 163: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 260: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 2.1643589196973907, 3: 0.096}
State 261: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 262: {0: 10.44837405118457, 1: 0.096, 2: 0.09528, 3: 0.096}
State 263: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 360: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 361: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 362: {0: 3.473410408624072, 1: 0.096, 2: 0.09528, 3: 0.096}
State 363: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 460: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 461: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 462: {0: 2.3977981349581645, 1: 0.096, 2: 0.09528, 3: 0.096}
State 463: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 560: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 561: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 562: {0: 0.09280000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 563: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 660: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 661: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 662: {0: 0.096, 1: 0.096, 2: 0.096, 3: 0.09528}
State 663: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 760: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 761: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 762: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 763: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 860: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 861: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 862: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 863: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 960: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 961: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 962: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 963: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1060: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09280000000000001, 3: 0.09208000000000001}
State 1061: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1062: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1063: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1160: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1161: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1162: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 1163: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 170: {0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}
State 171: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 172: {0: 0.096, 1: 2.6036070321449487, 2: 0.0, 3: 0.0}
State 173: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 270: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 271: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 272: {0: 23.086719430943177, 1: 2.6066714207516446, 2: 2.5786398716262764, 3: 2.603336587926868}
State 273: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 370: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 371: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 372: {0: 2.7006227141273014, 1: 2.6321515984029693, 2: 1.5615173095797124, 3: 2.8080697697152006}
State 373: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 470: {0: 0.09208000000000001, 1: 0.096, 2: 0.096, 3: 0.096}
State 471: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 472: {0: 2.552460500416652, 1: 0.9123923063813848, 2: 0.532735265634643, 3: 2.573363807503372}
State 473: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
