Partida,Ganador,Tablero Final
236,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 18]"
237,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 19]"
238,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
239,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 21]"
240,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
241,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 28]"
242,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 38]"
243,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 29]"
244,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 31]"
245,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 29]"
246,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
247,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 22]"
248,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 40]"
249,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 29]"
250,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 30]"
251,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 15]"
252,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 30]"
253,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 27]"
254,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 25]"
255,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 30]"
256,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 35]"
257,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 23]"
258,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
259,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
260,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 16]"
261,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 28]"
262,Empate,"[0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24]"
263,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 25]"
264,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
265,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 25]"
266,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 23]"
267,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 22]"
268,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 22]"
269,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 17]"
270,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 33]"
271,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 22]"
272,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
273,Empate,"[0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 24]"
274,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 25]"
275,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 20]"
276,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
277,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 26]"
278,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 30]"
279,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 31]"
280,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 29]"
281,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 25]"
282,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 20]"
283,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 15]"
284,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 28]"
285,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
286,Agente Cooperativo Original,"[0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 23]"
287,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 36]"
288,Agente Cooperativo Copia,"[0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 39]"
