Estado	Q_RL	Q_Emp	Recompensas
(813, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 5.20945336562895, 3: 5.169925001442312}	False
(910, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.459431618637297, 1: 4.523561956057013, 2: 4.906890595608519, 3: 4.857980995127572}	True
(910, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.459431618637297, 1: 4.523561956057013, 2: 4.906890595608519, 3: 4.857980995127572}	False
(911, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.459431618637297, 1: 4.247927513443585, 2: 4.700439718141092, 3: 4.584962500721156}	True
(911, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.459431618637297, 1: 4.247927513443585, 2: 4.700439718141092, 3: 4.584962500721156}	False
(912, True)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	True
(912, False)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	False
(913, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	True
(913, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	False
(1010, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.247927513443585, 1: 4.247927513443585, 2: 4.700439718141092, 3: 4.700439718141092}	True
(1010, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.247927513443585, 1: 4.247927513443585, 2: 4.700439718141092, 3: 4.700439718141092}	False
(1011, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.247927513443585, 1: 4.0, 2: 4.523561956057013, 3: 4.459431618637297}	True
(1011, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.247927513443585, 1: 4.0, 2: 4.523561956057013, 3: 4.459431618637297}	False
(1012, True)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	True
(1012, False)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	False
(1013, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	True
(1013, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	False
(1110, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.0, 1: 4.247927513443585, 2: 4.459431618637297, 3: 4.523561956057013}	True
(1110, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.0, 1: 4.247927513443585, 2: 4.459431618637297, 3: 4.523561956057013}	False
(1111, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.0, 1: 4.0, 2: 4.247927513443585, 3: 4.247927513443585}	True
(1111, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.0, 1: 4.0, 2: 4.247927513443585, 3: 4.247927513443585}	False
(1112, True)	{0: 0.08894400000000001, 1: 0.08894400000000001, 2: 0.08894400000000001, 3: 0.09208000000000001}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	True
(1112, False)	{0: 0.08894400000000001, 1: 0.08894400000000001, 2: 0.08894400000000001, 3: 0.09208000000000001}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	False
(1113, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	True
(1113, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	False
(120, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(120, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(121, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(121, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(122, True)	{0: 0.08373635200000001, 1: 0.08277380925655327, 2: 0.084473632, 3: 0.084473632}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(122, False)	{0: 0.08373635200000001, 1: 0.08277380925655327, 2: 0.084473632, 3: 0.084473632}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(123, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(123, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(220, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(220, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(221, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(221, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(222, True)	{0: 0.08322899942796906, 1: 0.0859344109337426, 2: 0.08496174762424297, 3: 0.08698243200000001}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(222, False)	{0: 0.08322899942796906, 1: 0.0859344109337426, 2: 0.08496174762424297, 3: 0.08698243200000001}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(223, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(223, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(320, True)	{0: 2.948920501161673, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(320, False)	{0: 2.948920501161673, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(321, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(321, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(322, True)	{0: 0.08940221439543738, 1: 0.08646579142746319, 2: 0.08654649774701281, 3: 0.08870018157069158}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(322, False)	{0: 0.08940221439543738, 1: 0.08646579142746319, 2: 0.08654649774701281, 3: 0.08870018157069158}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(323, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(323, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(420, True)	{0: 3.379931096422774, 1: 0.09024000000000001, 2: 0.15585320321898805, 3: 1.2023964662717614}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(420, False)	{0: 3.379931096422774, 1: 0.09024000000000001, 2: 0.15585320321898805, 3: 1.2023964662717614}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(421, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(421, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(422, True)	{0: 0.09208000000000001, 1: 0.09068632379967281, 2: 0.091504, 3: 0.09020629987440731}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(422, False)	{0: 0.09208000000000001, 1: 0.09068632379967281, 2: 0.091504, 3: 0.09020629987440731}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(423, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(423, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(520, True)	{0: 0.096, 1: 0.096, 2: 0.09528, 3: 0.3570360925645456}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(520, False)	{0: 0.096, 1: 0.096, 2: 0.09528, 3: 0.3570360925645456}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(521, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(521, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(522, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09407007137727617, 3: 0.09515040000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(522, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09407007137727617, 3: 0.09515040000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(523, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(523, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(620, True)	{0: 0.096, 1: 0.096, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(620, False)	{0: 0.096, 1: 0.096, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(621, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(621, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(622, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.096}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(622, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.096}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(623, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(623, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(720, True)	{0: 0.096, 1: 0.096, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(720, False)	{0: 0.096, 1: 0.096, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(721, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(721, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(722, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(722, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(723, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(723, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(820, True)	{0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(820, False)	{0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(821, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(821, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(822, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(822, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(823, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(823, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(920, True)	{0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(920, False)	{0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(921, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(921, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(922, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(922, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(923, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(923, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(1020, True)	{0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(1020, False)	{0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(1021, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(1021, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(1022, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(1022, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09528, 3: 0.09208000000000001}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(1023, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
(1023, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	False
(1120, True)	{0: 0.096, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0, 1: 0, 2: 0, 3: 0}	True
