State 402: {0: 0.05663020929165122, 1: 0.07154662250852177, 2: np.float64(0.5417063957039953), 3: 0.028861269676680946}
State 403: {0: 0.037334835377436426, 1: 0.06251147523725128, 2: 0.019660932469155415, 3: np.float64(0.6071913358111766)}
State 500: {0: 0.05460149450398055, 1: 0.07206758309157485, 2: 0.08017648043639802, 3: 0.05218267926511338}
State 501: {0: 0.054832534012338355, 1: np.float64(1.064279099551854), 2: np.float64(1.0116233233191094), 3: np.float64(0.5876801830020858)}
State 502: {0: 0.07451000573502788, 1: 0.013701231046921038, 2: np.float64(0.571410577865695), 3: 0.01371359320620489}
State 503: {0: 0.08122344264674132, 1: 0.026398722780032902, 2: 0.01788745628781213, 3: 0.05497472500108824}
State 600: {0: 0.04965505635485232, 1: 0.04029518237778218, 2: 0.08809622757503244, 3: 0.01767167501580541}
State 601: {0: 0.04423264789610927, 1: np.float64(1.4706514914806594), 2: np.float64(1.0305303340942937), 3: 0.04658865372236592}
State 602: {0: 0.015826646874421656, 1: 0.06070270775217717, 2: 0.042921727592133974, 3: np.float64(0.5551608614581951)}
State 603: {0: 0.08262766856874243, 1: 0.00603049390121655, 2: 0.0520646947316109, 3: 0.042674379677130614}
State 700: {0: 0.05712502520657449, 1: 0.05841695158023113, 2: 0.09777328592172224, 3: 0.0425261167949251}
State 701: {0: np.float64(2.850263865033547), 1: np.float64(1.0242303169948008), 2: np.float64(0.7049818521144321), 3: np.float64(0.5690633878409324)}
State 702: {0: np.float64(1.1443068523117566), 1: np.float64(0.5424338528004085), 2: np.float64(2.167647198596788), 3: np.float64(0.5163747025936443)}
State 703: {0: 0.0105221012155167, 1: np.float64(1.5132460189824277), 2: np.float64(0.603783046411824), 3: 0.032580914797554116}
State 800: {0: 0.07929878108969363, 1: 0.07967457898234656, 2: 0.021691615918270925, 3: 0.04755157062043783}
State 801: {0: np.float64(0.5252026971527948), 1: np.float64(1.7540775440587697), 2: np.float64(1.049400782916972), 3: np.float64(1.2331284141905967)}
State 802: {0: 0.04316462330036394, 1: 0.02840979480496171, 2: np.float64(1.5534994001259352), 3: np.float64(0.6244767874737784)}
State 803: {0: np.float64(1.141324524336468), 1: np.float64(0.4963401342109699), 2: np.float64(1.1737670675753926), 3: np.float64(0.6536961482237456)}
State 900: {0: 0.08895784949030427, 1: 0.02325746944942876, 2: 0.05367509120621747, 3: 0.02581194809991927}
State 901: {0: np.float64(1.0456858054023106), 1: np.float64(0.9210022912845167), 2: 0.0515511740267102, 3: np.float64(1.023529718782065)}
State 902: {0: np.float64(1.2275563464488874), 1: 0.024378690939154558, 2: np.float64(0.6106176021929137), 3: 0.05283939683212115}
State 903: {0: 0.07437146427573997, 1: 0.058307901694683445, 2: np.float64(1.758379184004007), 3: np.float64(1.0865212917551004)}
State 1000: {0: 0.010736684021333731, 1: 0.04852842684593094, 2: 0.07618433406137619, 3: 0.07191824220445132}
State 1001: {0: np.float64(0.4890325578625698), 1: 0.00956859764139295, 2: 0.0621456349960916, 3: np.float64(0.5130694490064593)}
State 1002: {0: 0.0765803791142961, 1: 0.03288780943593387, 2: 0.009754447217741892, 3: np.float64(0.6006251016265707)}
State 1003: {0: 0.0705002223316983, 1: 0.0617119120958103, 2: 0.0009441623637142849, 3: 0.03430204555184215}
State 1100: {0: 0.024020301945917755, 1: 0.09769480514288188, 2: 0.09211620434915323, 3: 0.05823728946896789}
State 1101: {0: 0.014523544727563786, 1: 0.08610662682118543, 2: 0.0839309390862218, 3: 0.027286678069041705}
State 1102: {0: 0.000693350362541223, 1: 0.09246510586678942, 2: 0.035890170468477936, 3: 0.05558123310750221}
State 1103: {0: 0.0792547101336736, 1: 0.07767054887491504, 2: 0.062236178217935915, 3: 0.08774274760790184}
